group,lever,direction,lever_change_pct,margin_gain,normalised_margin_gain_per_10pct
Other Civilizations,d,increase,10.000000000000009,-5444.411690770074,-5444.411690770069
Other Civilizations,d,increase,5.000000000000004,-2858.27510811096,-5716.5502162219145
Other Western,d,decrease,-9.999999999999998,567.293651125141,567.2936511251411
Other Western,d,decrease,-5.000000000000004,267.8116005316988,535.6232010633971
Other Western,alpha,decrease,-9.999999999999998,74.80860627603397,74.80860627603398
Other Western,alpha,decrease,-5.000000000000004,36.86537500886698,73.73075001773388
Other Western,h_D,increase,5.000000000000004,24.052463179868937,48.10492635973783
Other Western,h_D,increase,10.000000000000009,46.991621305889566,46.991621305889524
Other Western,h_D,increase,19.999999999999996,89.8255305163184,44.912765258159205
Other Western,beta,increase,5.000000000000004,21.78516509560359,43.57033019120714
Other Western,beta,increase,10.000000000000009,42.588812540455365,42.58881254045533
Other Western,beta,increase,19.999999999999996,81.50981872578086,40.75490936289044
Other Western,h_A,increase,5.000000000000004,1.7475040308991083,3.4950080617982136
Other Western,h_A,increase,10.000000000000009,3.3788290087150017,3.3788290087149986
Other Western,h_A,increase,19.999999999999996,6.336396314574813,3.1681981572874074
Other Western,p_D,decrease,-9.999999999999998,1.8189894035458565e-12,1.818989403545857e-12
Other Western,p_A,decrease,-5.000000000000004,9.094947017729282e-13,1.8189894035458549e-12
Other Western,p_D,decrease,-5.000000000000004,0.0,0.0
Other Western,p_D,increase,10.000000000000009,0.0,0.0
Other Western,p_A,decrease,-9.999999999999998,0.0,0.0
Other Western,p_A,increase,10.000000000000009,0.0,0.0
Other Western,p_D,increase,19.999999999999996,-9.094947017729282e-13,-4.547473508864642e-13
Other Western,p_A,increase,19.999999999999996,-1.8189894035458565e-12,-9.094947017729284e-13
Other Western,p_D,increase,5.000000000000004,-9.094947017729282e-13,-1.8189894035458549e-12
Other Western,p_A,increase,5.000000000000004,-1.8189894035458565e-12,-3.6379788070917097e-12
Other Western,h_A,decrease,-5.000000000000004,-1.8765523328638665,-3.7531046657277294
Other Western,h_A,decrease,-9.999999999999998,-3.8969958048837725,-3.8969958048837734
Other Western,beta,decrease,-5.000000000000004,-22.839239027865915,-45.67847805573179
Other Western,beta,decrease,-9.999999999999998,-46.81247493858609,-46.8124749385861
Other Western,h_D,decrease,-5.000000000000004,-25.248831865987086,-50.49766373197413
Other Western,h_D,decrease,-9.999999999999998,-51.78556996075713,-51.785569960757144
Other Western,alpha,increase,19.999999999999996,-137.55211803724796,-68.776059018624
Other Western,alpha,increase,10.000000000000009,-70.67581913130562,-70.67581913130556
Other Western,alpha,increase,5.000000000000004,-35.832803661747676,-71.6656073234953
Other Western,d,increase,19.999999999999996,-836.2347236580017,-418.11736182900097
Other Western,d,increase,10.000000000000009,-458.4654820828,-458.4654820827996
Other Western,d,increase,5.000000000000004,-240.82130434151077,-481.6426086830211
Sinic,d,decrease,-9.999999999999998,34739.16312453803,34739.163124538034
Sinic,d,decrease,-5.000000000000004,16428.70156553347,32857.40313106691
Sinic,alpha,decrease,-9.999999999999998,2369.864361124346,2369.8643611243465
