group,lever,factor,baseline_T,counterfactual_T,delta_T,delta_T_pct,baseline_margin,counterfactual_margin,delta_margin,baseline_P_D,counterfactual_P_D,delta_P_D
Japanese,beta,0.9,29331.82882692992,29175.588678326647,-156.24014860327225,-0.5326641905799826,27539.18176810639,27382.94161950312,-156.24014860327225,7370.441899161956,7298.04223781269,-72.39966134926635
Japanese,beta,0.95,29331.82882692992,29255.036196858877,-76.79263007104237,-0.26180648511264354,27539.18176810639,27462.38913803535,-76.79263007104237,7370.441899161956,7335.198180063081,-35.24371909887486
Japanese,beta,1.05,29331.82882692992,29406.10016381439,74.27133688447066,0.2532107265547698,27539.18176810639,27613.453104990862,74.27133688447066,7370.441899161956,7403.888205088514,33.446305926558125
Japanese,beta,1.1,29331.82882692992,29477.974916449857,146.14608951993796,0.4982508604637683,27539.18176810639,27685.32785762633,146.14608951993796,7370.441899161956,7435.643636123335,65.20173696137954
Japanese,beta,1.2,29331.82882692992,29614.993376528237,283.16454959831754,0.9653832063084339,27539.18176810639,27822.34631770471,283.16454959831754,7370.441899161956,7494.470825537018,124.02892637506193
Japanese,h_D,0.9,29331.82882692992,29161.926035456734,-169.90279147318506,-0.5792437712482325,27539.18176810639,27369.278976633206,-169.90279147318506,7370.441899161956,6980.620005795656,-389.8218933663002
Japanese,h_D,0.95,29331.82882692992,29248.36559437822,-83.46323255169773,-0.28454834181723127,27539.18176810639,27455.718535554694,-83.46323255169773,7370.441899161956,7178.945367188203,-191.496531973753
Japanese,h_D,1.05,29331.82882692992,29412.466854711136,80.6380277812168,0.2749164678991377,27539.18176810639,27619.819795887608,80.6380277812168,7370.441899161956,7555.456332382511,185.01443322055547
Japanese,h_D,1.1,29331.82882692992,29490.42073875537,158.59191182544964,0.5406819764332064,27539.18176810639,27697.77367993184,158.59191182544964,7370.441899161956,7734.312314735062,363.8704155731057
Japanese,h_D,1.2,29331.82882692992,29638.794878309436,306.966051379517,1.0465288516128515,27539.18176810639,27846.14781948591,306.966051379517,7370.441899161956,8074.73925831879,704.2973591568343
Japanese,h_A,0.9,29331.82882692992,29322.555129021162,-9.27369790875673,-0.031616500844442515,27539.18176810639,27529.908070197635,-9.27369790875673,7370.441899161956,7332.012310104295,-38.42958905766136
Japanese,h_A,0.95,29331.82882692992,29327.32353237691,-4.505294553007843,-0.015359746504696209,27539.18176810639,27534.676473553383,-4.505294553007843,7370.441899161956,7351.772257347083,-18.669641814873103
Japanese,h_A,1.05,29331.82882692992,29336.092204569642,4.2633776397233305,0.014534987452978283,27539.18176810639,27543.445145746115,4.2633776397233305,7370.441899161956,7388.109053333261,17.6671541713049
Japanese,h_A,1.1,29331.82882692992,29340.1326408448,8.303813914881175,0.028309908542959106,27539.18176810639,27547.485582021272,8.303813914881175,7370.441899161956,7404.852353276367,34.41045411441064
Japanese,h_A,1.2,29331.82882692992,29347.611161862107,15.78233493218795,0.05380617425974473,27539.18176810639,27554.96410303858,15.78233493218795,7370.441899161956,7435.842848360623,65.40094919866715
Japanese,p_D,0.9,29331.82882692992,29331.828826929912,-7.275957614183426e-12,-2.4805673240201368e-14,27539.18176810639,27539.181768106384,-7.275957614183426e-12,7370.441899161956,7046.357542148817,-324.0843570131392
Japanese,p_D,0.95,29331.82882692992,29331.828826929916,-3.637978807091713e-12,-1.2402836620100684e-14,27539.18176810639,27539.181768106388,-3.637978807091713e-12,7370.441899161956,7212.868652617745,-157.57324654421063
Japanese,p_D,1.05,29331.82882692992,29331.828826929923,3.637978807091713e-12,1.2402836620100684e-14,27539.18176810639,27539.181768106395,3.637978807091713e-12,7370.441899161956,7519.778112800092,149.33621363813563
Japanese,p_D,1.1,29331.82882692992,29331.82882692992,0.0,0.0,27539.18176810639,27539.18176810639,0.0,7370.441899161956,7661.506719946689,291.06482078473346
Japanese,p_D,1.2,29331.82882692992,29331.82882692991,-1.0913936421275139e-11,-3.720850986030205e-14,27539.18176810639,27539.18176810638,-1.0913936421275139e-11,7370.441899161956,7924.353715802344,553.9118166403878
Japanese,p_A,0.9,29331.82882692992,29331.828826929923,3.637978807091713e-12,1.2402836620100684e-14,27539.18176810639,27539.181768106395,3.637978807091713e-12,7370.441899161956,7354.181385709723,-16.26051345223277
Japanese,p_A,0.95,29331.82882692992,29331.828826929923,3.637978807091713e-12,1.2402836620100684e-14,27539.18176810639,27539.181768106395,3.637978807091713e-12,7370.441899161956,7362.544957122993,-7.896942038963061
Japanese,p_A,1.05,29331.82882692992,29331.828826929923,3.637978807091713e-12,1.2402836620100684e-14,27539.18176810639,27539.181768106395,3.637978807091713e-12,7370.441899161956,7377.9102040083935,7.468304846437604
Japanese,p_A,1.1,29331.82882692992,29331.82882692992,0.0,0.0,27539.18176810639,27539.18176810639,0.0,7370.441899161956,7384.9838484726415,14.541949310685595
Japanese,p_A,1.2,29331.82882692992,29331.828826929916,-3.637978807091713e-12,-1.2402836620100684e-14,27539.18176810639,27539.181768106388,-3.637978807091713e-12,7370.441899161956,7398.066009750229,27.624110588272742
Japanese,d,0.9,29331.82882692992,32525.64944153196,3193.820614602042,10.888583297846587,27539.18176810639,30733.002382708433,3193.820614602042,7370.441899161956,9128.454381857055,1758.0124826950987
Japanese,d,0.95,29331.82882692992,30842.29073447168,1510.4619075417613,5.149566078726695,27539.18176810639,29049.643675648153,1510.4619075417613,7370.441899161956,8184.920316670147,814.4784175081913
Japanese,d,1.05,29331.82882692992,27968.732437137936,-1363.0963897919828,-4.647157863339592,27539.18176810639,26176.08537831441,-1363.0963897919828,7370.441899161956,6663.178019393928,-707.2638797680283
Japanese,d,1.1,29331.82882692992,26732.246417530427,-2599.5824093994925,-8.862667325444034,27539.18176810639,24939.5993587069,-2599.5824093994925,7370.441899161956,6045.6686105564795,-1324.7732886054764
Japanese,d,1.2,29331.82882692992,24573.86727021639,-4757.96155671353,-16.22115547171469,27539.18176810639,22781.22021139286,-4757.96155671353,7370.441899161956,5026.176666346001,-2344.2652328159547
Other Civilizations,alpha,0.9,59354.84839260868,60245.39807675537,890.5496841466957,1.5003823752628669,57285.87869563898,58176.42837978568,890.5496841466957,22320.14829792034,22414.001447278864,93.85314935852512
Other Civilizations,alpha,0.95,59354.84839260868,59794.89004033469,440.04164772601507,0.7413743942454623,57285.87869563898,57725.920343365,440.04164772601507,22320.14829792034,22366.523357305796,46.37505938545655
Other Civilizations,alpha,1.05,59354.84839260868,58924.91258261689,-429.9358099917881,-0.724348257362118,57285.87869563898,56855.94288564719,-429.9358099917881,22320.14829792034,22274.838271418674,-45.31002650166556
Other Civilizations,alpha,1.1,59354.84839260868,58504.738431962294,-850.1099606463831,-1.4322502435239062,57285.87869563898,56435.7687349926,-850.1099606463831,22320.14829792034,22230.557005566832,-89.59129235350701
Other Civilizations,alpha,1.2,59354.84839260868,57692.37480561994,-1662.4735869887372,-2.800906129844923,57285.87869563898,55623.405108650244,-1662.4735869887372,22320.14829792034,22144.94371962243,-175.20457829790757
Other Civilizations,beta,0.9,59354.84839260868,58872.47053672548,-482.3778558831982,-0.8127016898307293,57285.87869563898,56803.50083975578,-482.3778558831982,22320.14829792034,22073.456471892412,-246.69182602792716
Other Civilizations,beta,0.95,59354.84839260868,59119.05326170071,-235.79513090796536,-0.39726347096074527,57285.87869563898,57050.083564731016,-235.79513090796536,22320.14829792034,22200.880841741713,-119.26745617862616
Other Civilizations,beta,1.05,59354.84839260868,59580.5669064738,225.71851386512571,0.38028656458203325,57285.87869563898,57511.59720950411,225.71851386512571,22320.14829792034,22431.88527494369,111.73697702334903
Other Civilizations,beta,1.1,59354.84839260868,59796.85806309387,442.0096704851894,0.7446900842227269,57285.87869563898,57727.88836612417,442.0096704851894,22320.14829792034,22536.66002703918,216.51172911883987
Other Civilizations,beta,1.2,59354.84839260868,60203.48539550996,848.6370029012833,1.4297686303364596,57285.87869563898,58134.515698540265,848.6370029012833,22320.14829792034,22727.342532876457,407.1942349561177
Other Civilizations,h_D,0.9,59354.84839260868,58883.7691023644,-471.0792902442772,-0.793666066044471,57285.87869563898,56814.799405394704,-471.0792902442772,22320.14829792034,21367.90411818947,-952.2441797308675
Other Civilizations,h_D,0.95,59354.84839260868,59124.1052136502,-230.7431789584807,-0.38875203156481253,57285.87869563898,57055.1355166805,-230.7431789584807,22320.14829792034,21853.72183060124,-466.4264673190992
Other Civilizations,h_D,1.05,59354.84839260868,59576.56174891465,221.71335630597605,0.3735387458821064,57285.87869563898,57507.59205194496,221.71335630597605,22320.14829792034,22768.32179542533,448.17349750499125
Other Civilizations,h_D,1.1,59354.84839260868,59789.765164989774,434.91677238109696,0.7327400948011791,57285.87869563898,57720.79546802008,434.91677238109696,22320.14829792034,23199.29321841231,879.14492049197
Other Civilizations,h_D,1.2,59354.84839260868,60192.529537557035,837.6811449483575,1.4113103944052396,57285.87869563898,58123.55984058734,837.6811449483575,22320.14829792034,24013.444970617915,1693.2966726975756
Other Civilizations,h_A,0.9,59354.84839260868,59314.626510022514,-40.2218825861637,-0.06776511721521378,57285.87869563898,57245.65681305282,-40.2218825861637,22320.14829792034,22188.986615308047,-131.16168261229177
Other Civilizations,h_A,0.95,59354.84839260868,59335.325983079936,-19.522409528741264,-0.0328910106881384,57285.87869563898,57266.35628611024,-19.522409528741264,22320.14829792034,22256.48663124048,-63.66166667985817
Other Civilizations,h_A,1.05,59354.84839260868,59373.29136249806,18.442969889380038,0.03107238985328905,57285.87869563898,57304.32166552836,18.442969889380038,22320.14829792034,22380.28996229608,60.14166437574022
Other Civilizations,h_A,1.1,59354.84839260868,59390.74201136205,35.89361875336908,0.06047293477349499,57285.87869563898,57321.77231439235,35.89361875336908,22320.14829792034,22437.19571410351,117.04741618316984
Other Civilizations,h_A,1.2,59354.84839260868,59422.97033971945,68.12194711077609,0.1147706530394561,57285.87869563898,57354.00064274976,68.12194711077609,22320.14829792034,22542.29078930497,222.14249138463128
Other Civilizations,p_D,0.9,59354.84839260868,59354.84839260871,2.9103830456733704e-11,4.903361940076649e-14,57285.87869563898,57285.87869563901,2.9103830456733704e-11,22320.14829792034,21569.29666532502,-750.8516325953206
Other Civilizations,p_D,0.95,59354.84839260868,59354.84839260871,2.9103830456733704e-11,4.903361940076649e-14,57285.87869563898,57285.87869563901,2.9103830456733704e-11,22320.14829792034,21957.129260562877,-363.01903735746237
Other Civilizations,p_D,1.05,59354.84839260868,59354.84839260869,1.4551915228366852e-11,2.4516809700383244e-14,57285.87869563898,57285.878695638996,1.4551915228366852e-11,22320.14829792034,22660.66131893785,340.5130210175121
Other Civilizations,p_D,1.1,59354.84839260868,59354.84839260868,0.0,0.0,57285.87869563898,57285.87869563898,0.0,22320.14829792034,22980.698347407742,660.5500494874032
Other Civilizations,p_D,1.2,59354.84839260868,59354.84839260871,2.9103830456733704e-11,4.903361940076649e-14,57285.87869563898,57285.87869563901,2.9103830456733704e-11,22320.14829792034,23566.313053256625,1246.1647553362855
Other Civilizations,p_A,0.9,59354.84839260868,59354.848392608685,7.275957614183426e-12,1.2258404850191622e-14,57285.87869563898,57285.87869563899,7.275957614183426e-12,22320.14829792034,22272.145272201677,-48.003025718662684
Other Civilizations,p_A,0.95,59354.84839260868,59354.8483926087,2.1827872842550278e-11,3.6775214550574866e-14,57285.87869563898,57285.878695639,2.1827872842550278e-11,22320.14829792034,22296.827575169496,-23.320722750842833
Other Civilizations,p_A,1.05,59354.84839260868,59354.84839260866,-1.4551915228366852e-11,-2.4516809700383244e-14,57285.87869563898,57285.87869563897,-1.4551915228366852e-11,22320.14829792034,22342.217082090694,22.068784170354775
Other Civilizations,p_A,1.1,59354.84839260868,59354.84839260868,0.0,0.0,57285.87869563898,57285.87869563898,0.0,22320.14829792034,22363.13210513697,42.98380721663125
Other Civilizations,p_A,1.2,59354.84839260868,59354.84839260869,1.4551915228366852e-11,2.4516809700383244e-14,57285.87869563898,57285.878695638996,1.4551915228366852e-11,22320.14829792034,22401.844800371433,81.69650245109369
