rate,value,target_value_after_1pct_change,elasticity,group,target,M_threshold,period
p_A,0.11398164015804714,37903.33243244109,0.011896471447974448,Islamic,domestic_active,2254.7179487179487,early
alpha,0.033379754601547684,37834.61517753044,-0.1694211738059381,Islamic,domestic_active,2254.7179487179487,early
d,0.03679165975673554,36900.19242113249,-2.634993089943082,Islamic,domestic_active,2254.7179487179487,early
r,0.043724715458210994,18737.31453642031,1.0101010100998018,Islamic,domestic_PIs,571.0,early
I0,811.0909090913892,18735.44080496689,0.9999999999999931,Islamic,domestic_PIs,571.0,early
h_D,0.052971551706087625,18683.6688762828,0.7209051630262828,Islamic,domestic_PIs,571.0,early
p_D,0.11204462740508085,18630.075609347346,0.4319917599828929,Islamic,domestic_PIs,571.0,early
beta,0.038666152725991346,18583.90059588096,0.18306906802954737,Islamic,domestic_PIs,571.0,early
h_A,0.10241230823585566,18565.140417450595,0.08193571113705009,Islamic,domestic_PIs,571.0,early
p_A,0.11398164015804714,18554.35496801873,0.023792942895940576,Islamic,domestic_PIs,571.0,early
alpha,0.033379754601547684,18533.91271792412,-0.08640821442129495,Islamic,domestic_PIs,571.0,early
d,0.03679165975673554,17944.254663279025,-3.265167878478191,Islamic,domestic_PIs,571.0,early
r,0.12930343406378597,32102.47318760107,1.010101010098829,Japanese,domestic_active,1792.6470588235293,early
I0,1065.272727273864,32099.262940283006,1.00000000000001,Japanese,domestic_active,1792.6470588235293,early
h_D,0.04014301554155901,31964.77456561329,0.5768337152503714,Japanese,domestic_active,1792.6470588235293,early
p_D,0.07714172206860984,31904.014529000975,0.38565288629300315,Japanese,domestic_active,1792.6470588235293,early
beta,0.030808450482929746,31825.661232613347,0.13911504678332642,Japanese,domestic_active,1792.6470588235293,early
h_A,0.09808181022574505,31797.487675136486,0.05046723856241091,Japanese,domestic_active,1792.6470588235293,early
p_A,0.1307687297911814,31786.921045112325,0.017219446099832628,Japanese,domestic_active,1792.6470588235293,early
alpha,0.024474337457814705,31729.797812321398,-0.16251821711745257,Japanese,domestic_active,1792.6470588235293,early
d,0.0580013462063447,30856.38389712334,-2.910706099160638,Japanese,domestic_active,1792.6470588235293,early
h_D,0.04014301554155901,8324.889091940222,1.047996464250616,Japanese,domestic_PIs,424.0,early
r,0.12930343406378597,8321.767056235003,1.0101010100988423,Japanese,domestic_PIs,424.0,early
I0,1065.272727273864,8320.93487952956,1.0000000000000113,Japanese,domestic_PIs,424.0,early
p_D,0.07714172206860984,8302.093792661943,0.771305772586847,Japanese,domestic_PIs,424.0,early
beta,0.030808450482929746,8253.315933919794,0.17923723650480772,Japanese,domestic_PIs,424.0,early
h_A,0.09808181022574505,8246.408842683946,0.09539855432297624,Japanese,domestic_PIs,424.0,early
p_A,0.1307687297911814,8241.38665081458,0.03443889219969283,Japanese,domestic_PIs,424.0,early
alpha,0.024474337457814705,8232.972510049427,-0.06769244635592396,Japanese,domestic_PIs,424.0,early
d,0.0580013462063447,7915.043444940789,-3.9267342536615777,Japanese,domestic_PIs,424.0,early
r,0.07936772957282301,43314.25623616015,1.0101010100967938,Other Civilizations,domestic_active,2068.969696969697,early
I0,1224.4545454570703,43309.924810538345,1.000000000000002,Other Civilizations,domestic_active,2068.969696969697,early
h_D,0.04353785673160454,43102.58323128316,0.5164734273637493,Other Civilizations,domestic_active,2068.969696969697,early
p_D,0.09071819385899485,43007.83300587427,0.2955131553669396,Other Civilizations,domestic_active,2068.969696969697,early
beta,0.03547966512712608,42963.01935637493,0.1910064258070554,Other Civilizations,domestic_active,2068.969696969697,early
h_A,0.09078822712692702,42909.97639444269,0.06730870112634842,Other Civilizations,domestic_active,2068.969696969697,early
p_A,0.1190578957327212,42889.14773442029,0.018735662233639195,Other Civilizations,domestic_active,2068.969696969697,early
alpha,0.036065346763659835,42794.336257620256,-0.202367449782686,Other Civilizations,domestic_active,2068.969696969697,early
d,0.047263529585617574,41680.06447498834,-2.800881544141935,Other Civilizations,domestic_active,2068.969696969697,early
r,0.07936772957282301,15583.446570044243,1.010101010096778,Other Civilizations,domestic_PIs,494.0,early
I0,1224.4545454570703,15581.888225387891,0.999999999999995,Other Civilizations,domestic_PIs,494.0,early
h_D,0.04353785673160454,15563.533967033994,0.8810298169946296,Other Civilizations,domestic_PIs,494.0,early
p_D,0.09071819385899485,15518.793350999273,0.5910263107350784,Other Civilizations,domestic_PIs,494.0,early
beta,0.03547966512712608,15462.21390434526,0.22428487161062025,Other Civilizations,domestic_PIs,494.0,early
h_A,0.09078822712692702,15446.31540699145,0.12123264780384659,Other Civilizations,domestic_PIs,494.0,early
p_A,0.1190578957327212,15433.393034933635,0.037471324467380954,Other Civilizations,domestic_PIs,494.0,early
alpha,0.036065346763659835,15413.875357412566,-0.08904000722194202,Other Civilizations,domestic_PIs,494.0,early
d,0.047263529585617574,14864.187553070724,-3.6520528741778633,Other Civilizations,domestic_PIs,494.0,early
r,0.06582423874465348,4495.423349229031,1.0101010100964791,Other Western,domestic_active,1601.2173913043478,early
I0,133.27272727302298,4494.973806894311,1.0000000000000124,Other Western,domestic_active,1601.2173913043478,early
h_D,0.09387084393109643,4468.512137332859,0.40541842054623317,Other Western,domestic_active,1601.2173913043478,early
p_D,0.07540104751485126,4465.016293920728,0.32686842230514,Other Western,domestic_active,1601.2173913043478,early
beta,0.04008744343995653,4460.063389029874,0.21557892086045194,Other Western,domestic_active,1601.2173913043478,early
h_A,0.1777097331261509,4452.722989996391,0.05064352096009159,Other Western,domestic_active,1601.2173913043478,early
p_A,0.13642319021666158,4451.605714826756,0.025538860292203414,Other Western,domestic_active,1601.2173913043478,early
alpha,0.06749233188447513,4440.817428604725,-0.2168689834985488,Other Western,domestic_active,1601.2173913043478,early
d,0.048796434956758644,4329.017689644084,-2.7289578454415477,Other Western,domestic_active,1601.2173913043478,early
r,0.06582423874465348,2045.126825682095,1.0101010100964685,Other Western,domestic_PIs,372.0,early
I0,133.27272727302298,2044.9223129996187,1.0000000000000029,Other Western,domestic_PIs,372.0,early
p_D,0.07540104751485126,2037.911607528102,0.6537368446117012,Other Western,domestic_PIs,372.0,early
h_D,0.09387084393109643,2036.7784875494362,0.5977713357423876,Other Western,domestic_PIs,372.0,early
beta,0.04008744343995653,2029.6613306685763,0.24625047825199808,Other Western,domestic_PIs,372.0,early
h_A,0.1777097331261509,2026.4169021455436,0.08600611163563285,Other Western,domestic_PIs,372.0,early
p_A,0.13642319021666158,2025.7097155493295,0.051077720584505965,Other Western,domestic_PIs,372.0,early
alpha,0.06749233188447513,2022.4388714868073,-0.11047132615172764,Other Western,domestic_PIs,372.0,early
d,0.048796434956758644,1955.3219074580102,-3.4254204192372883,Other Western,domestic_PIs,372.0,early
r,0.04957627169983425,280968.8541085457,1.0101010100938241,Sinic,domestic_active,3129.4270557029176,early
I0,5567.727272746829,280940.7572231549,1.0000000000000202,Sinic,domestic_active,3129.4270557029176,early
h_D,0.03341268724785057,279403.97898796364,0.44751839039494967,Sinic,domestic_active,3129.4270557029176,early
p_D,0.10948885651078437,278767.65102762775,0.21875441670467327,Sinic,domestic_active,3129.4270557029176,early
beta,0.06971319458731101,278446.32785736135,0.10323668080304833,Sinic,domestic_active,3129.4270557029176,early
h_A,0.10078332257193155,278328.7779006824,0.060976719158743024,Sinic,domestic_active,3129.4270557029176,early
p_A,0.14291520099513155,278195.42177733156,0.01303433945006499,Sinic,domestic_active,3129.4270557029176,early
alpha,0.020739018239190186,278017.08191790077,-0.051079981236423495,Sinic,domestic_active,3129.4270557029176,early
d,0.036620312603315566,270608.14512763487,-2.714640168135434,Sinic,domestic_active,3129.4270557029176,early
r,0.04957627169983425,113440.69953827144,1.0101010100938235,Sinic,domestic_PIs,658.0,early
I0,5567.727272746829,113429.3554683257,1.0000000000000129,Sinic,domestic_PIs,658.0,early
h_D,0.03341268724785057,113228.00556005194,0.8207136005341534,Sinic,domestic_PIs,658.0,early
p_D,0.10948885651078437,112797.64249324818,0.43750883341090113,Sinic,domestic_PIs,658.0,early
