group,M_multiplier,M_threshold,T_equilibrium,T_over_M,below_M,closest_rate,critical_factor,proximity,elasticity_d,elasticity_alpha,abs_e_d_gt_abs_e_alpha,rank_T_over_M,rank_proximity
Hindu,1.0,2248.8695652173915,53434.34853852232,23.76053701156162,False,I0,0.04208659086759746,0.9579134091324025,-2.5352050745217234,-0.1229726243277352,True,4,4.0
Hindu,1.25,2811.0869565217395,53434.34853852232,19.008429609249294,False,I0,0.05260823858449683,0.9473917614155032,-2.5352050745217234,-0.1229726243277352,True,4,4.0
Hindu,1.5,3373.304347826087,53434.34853852232,15.840358007707747,False,I0,0.0631298863013962,0.9368701136986038,-2.5352050745217234,-0.1229726243277352,True,4,4.0
Hindu,2.0,4497.739130434783,53434.34853852232,11.88026850578081,False,I0,0.08417318173519493,0.915826818264805,-2.5352050745217234,-0.1229726243277352,True,4,4.0
Islamic,0.5,1127.3589743589744,88522.00518421628,78.52157759647997,False,I0,0.012735352887826209,0.9872646471121738,-2.57877262056502,-0.1341460355064756,True,6,6.0
Islamic,0.75,1691.0384615384614,88522.00518421628,52.34771839765332,False,I0,0.01910302933173931,0.9808969706682606,-2.57877262056502,-0.1341460355064756,True,6,6.0
Islamic,1.0,2254.7179487179487,88522.00518421628,39.260788798239986,False,I0,0.025470705775652414,0.9745292942243475,-2.57877262056502,-0.1341460355064756,True,6,6.0
Islamic,1.25,2818.397435897436,88522.00518421628,31.408631038591988,False,I0,0.03183838221956552,0.9681616177804345,-2.57877262056502,-0.1341460355064756,True,6,6.0
Islamic,1.5,3382.076923076923,88522.00518421628,26.17385919882666,False,I0,0.03820605866347862,0.9617939413365214,-2.57877262056502,-0.1341460355064756,True,6,6.0
Islamic,2.0,4509.4358974358975,88522.00518421628,19.630394399119993,False,I0,0.05094141155130484,0.9490585884486952,-2.57877262056502,-0.1341460355064756,True,6,6.0
Japanese,0.5,896.3235294117646,29331.82882692992,32.72459983972493,False,I0,0.030558051279395145,0.9694419487206049,-2.2740826158987355,-0.1555554427293535,True,2,2.0
Japanese,0.75,1344.4852941176468,29331.82882692992,21.816399893149956,False,I0,0.045837076919092716,0.9541629230809073,-2.2740826158987355,-0.1555554427293535,True,2,2.0
Japanese,1.0,1792.6470588235293,29331.82882692992,16.362299919862465,False,I0,0.06111610255879028,0.9388838974412097,-2.2740826158987355,-0.1555554427293535,True,2,2.0
Japanese,1.25,2240.8088235294117,29331.82882692992,13.089839935889973,False,I0,0.07639512819848787,0.9236048718015122,-2.2740826158987355,-0.1555554427293535,True,2,2.0
Japanese,1.5,2688.9705882352937,29331.82882692992,10.908199946574978,False,I0,0.09167415383818543,0.9083258461618146,-2.2740826158987355,-0.1555554427293535,True,2,2.0
Japanese,2.0,3585.2941176470586,29331.82882692992,8.181149959931233,False,I0,0.12223220511758058,0.8777677948824194,-2.2740826158987355,-0.1555554427293535,True,2,2.0
Other Civilizations,0.5,1034.4848484848485,59354.84839260868,57.37623753459741,False,I0,0.0174288179735907,0.9825711820264093,-2.790438108706712,-0.1871126606830225,True,5,5.0
Other Civilizations,0.75,1551.7272727272727,59354.84839260868,38.25082502306494,False,I0,0.026143226960386054,0.9738567730396139,-2.790438108706712,-0.1871126606830225,True,5,5.0
Other Civilizations,1.0,2068.969696969697,59354.84839260868,28.688118767298704,False,I0,0.0348576359471814,0.9651423640528186,-2.790438108706712,-0.1871126606830225,True,5,5.0
Other Civilizations,1.25,2586.212121212121,59354.84839260868,22.950495013838964,False,I0,0.04357204493397674,0.9564279550660233,-2.790438108706712,-0.1871126606830225,True,5,5.0
Other Civilizations,1.5,3103.4545454545455,59354.84839260868,19.12541251153247,False,I0,0.0522864539207721,0.9477135460792279,-2.790438108706712,-0.1871126606830225,True,5,5.0
Other Civilizations,2.0,4137.939393939394,59354.84839260868,14.344059383649352,False,I0,0.0697152718943628,0.9302847281056372,-2.790438108706712,-0.1871126606830225,True,5,5.0
Other Western,0.5,800.6086956521739,4824.24697299595,6.025723926301014,False,I0,0.16595516360037857,0.8340448363996215,-2.744076822433831,-0.1913760356881641,True,1,1.0
Other Western,0.75,1200.9130434782608,4824.24697299595,4.017149284200676,False,I0,0.24893274540056784,0.7510672545994321,-2.744076822433831,-0.1913760356881641,True,1,1.0
Other Western,1.0,1601.2173913043478,4824.24697299595,3.012861963150507,False,I0,0.33191032720075714,0.6680896727992429,-2.744076822433831,-0.1913760356881641,True,1,1.0
Other Western,1.25,2001.5217391304348,4824.24697299595,2.4102895705204053,False,d,1.532507820901223,0.5325078209012231,-2.744076822433831,-0.1913760356881641,True,1,1.0
Other Western,1.5,2401.8260869565215,4824.24697299595,2.008574642100338,False,d,1.374066879574971,0.3740668795749711,-2.744076822433831,-0.1913760356881641,True,1,1.0
Other Western,2.0,3202.4347826086955,4824.24697299595,1.5064309815752535,False,d,1.1835726693882767,0.18357266938827665,-2.744076822433831,-0.1913760356881641,True,1,1.0
Sinic,0.5,1564.7135278514588,303934.77257208456,194.2430784690817,False,I0,0.005148188588656322,0.9948518114113437,-2.685153775140916,-0.0626020625333531,True,9,9.0
Sinic,0.75,2347.0702917771882,303934.77257208456,129.49538564605447,False,I0,0.007722282882984483,0.9922777171170155,-2.685153775140916,-0.0626020625333531,True,9,9.0
Sinic,1.0,3129.4270557029176,303934.77257208456,97.12153923454085,False,I0,0.010296377177312644,0.9897036228226873,-2.685153775140916,-0.0626020625333531,True,9,9.0
Sinic,1.25,3911.783819628647,303934.77257208456,77.69723138763268,False,I0,0.012870471471640806,0.9871295285283592,-2.685153775140916,-0.0626020625333531,True,9,9.0
Sinic,1.5,4694.1405835543765,303934.77257208456,64.74769282302724,False,I0,0.015444565765968966,0.984555434234031,-2.685153775140916,-0.0626020625333531,True,9,9.0
Sinic,2.0,6258.854111405835,303934.77257208456,48.560769617270424,False,I0,0.02059275435462529,0.9794072456453747,-2.685153775140916,-0.0626020625333531,True,9,9.0
United States,0.5,922.0318906605922,147066.6107041606,159.5027375883868,False,I0,0.006269484869787025,0.9937305151302129,-2.665046135609364,-0.2266069861195877,True,8,8.0
United States,0.75,1383.0478359908884,147066.6107041606,106.33515839225785,False,I0,0.009404227304680537,0.9905957726953195,-2.665046135609364,-0.2266069861195877,True,8,8.0
United States,1.0,1844.0637813211845,147066.6107041606,79.7513687941934,False,I0,0.012538969739574048,0.987461030260426,-2.665046135609364,-0.2266069861195877,True,8,8.0
United States,1.25,2305.0797266514805,147066.6107041606,63.80109503535472,False,I0,0.01567371217446756,0.9843262878255324,-2.665046135609364,-0.2266069861195877,True,8,8.0
United States,1.5,2766.095671981777,147066.6107041606,53.167579196128926,False,I0,0.018808454609361074,0.9811915453906389,-2.665046135609364,-0.2266069861195877,True,8,8.0
United States,2.0,3688.127562642369,147066.6107041606,39.8756843970967,False,I0,0.025077939479148104,0.974922060520852,-2.665046135609364,-0.2266069861195877,True,8,8.0
